"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"CCQFGI","XRA",1743473,1529,3.797363079325,5.73567815503882e-05,0.0325243291580459,-0.060027934011653,"S","XRA"
"KWHTIY","XRA",4683801,2991,5.2843192953757,0.0351850985983393,-0.0311763794487064,-0.0110953064695558,"G1","XRA"
"QVDOUG","XRA",3549581,2703,6.79040709311888,0,0.00886825317947638,-0.0294884666784973,"S","XRA"
"JBHTUF","XRA",4211132,2815,10.7194692543478,0,-0.0544764537406307,-0.0366064826230532,"G1","XRA"
"FVMIDW","XRA",807294,2870,4.19425884498089,0,0.00377741054353077,-0.0367854760856944,"S","XRA"
"BPUPNK","XRA",1374771,2666,6.69165992008851,0,-0.0584759820105847,0.0246687488187271,"G2M","XRA"
"DPFPPZ","XRA",486021,1285,11.9227358488625,0,-0.0380705095724526,-0.0222911654178988,"G1","XRA"
"BYFSYT","XRA",2719664,2031,14.7974896899029,0.000294153983727402,-0.00808894101198816,0.0576114482262546,"G2M","XRA"
"GPDECH","XRA",803091,1634,13.3052169679401,0,-0.0210111656746374,-0.0474270100296879,"G1","XRA"
"MIVNLB","XRA",2106823,1939,14.3724460953768,0,-0.0384844091694128,-0.0245925508161951,"G1","XRA"
